Dates,Region,Pollster,Sample,Voter_Type,Pollster_Grade,Biden,Sanders,Harris,Warren,Buttigieg,Booker,Yang,de Blasio,Williamson,O'Rourke,Delaney,Castro,Gabbard,Klobuchar,Steyer,Poll_End_Date,Cell,Landline,Text,Online,Mail
"Sep 17-20, 2019",National,HarrisX,761,LV,C+,32,15,5,20,5,3,2,0,1,2,0,1,1,1,1,9/20/2019,0.0,0.0,0.0,1.0,0.0
"Sep 13-20, 2019",National,HarrisX,"1,831",LV,C+,32,15,6,17,5,3,2,1,0,3,1,1,1,1,1,9/20/2019,0.0,0.0,0.0,1.0,0.0
"Sep 13-17, 2019",Iowa,Civiqs,572,LV,Missing,16,16,5,24,13,2,3,0,1,2,0,0,4,3,2,9/17/2019,0.0,0.0,0.0,1.0,0.0
"Sep 15-17, 2019",National,Fox News,480,LV,A,29,18,7,16,5,3,2,0,0,4,1,0,0,2,1,9/17/2019,789.0,219.0,0.0,0.0,0.0
"Sep 14-17, 2019",National,YouGov,603,LV,B,25,15,5,19,8,2,3,0,1,3,1,1,2,1,0,9/17/2019,0.0,0.0,0.0,1.0,0.0
"Sep 13-16, 2019",National,Civiqs,"1,291",LV,Missing,24,14,6,30,7,1,2,0,0,2,0,1,2,1,1,9/16/2019,0.0,0.0,0.0,1.0,0.0
"Sep 14-16, 2019",Iowa,David Binder Research,500,LV,Missing,25,9,5,23,12,2,2,0,0,1,1,1,1,8,3,9/16/2019,0.5,0.5,0.0,0.0,0.0
"Sep 13-16, 2019",California,Emerson College,424,LV,B+,26,26,6,20,4,1,7,0,0,5,0,1,2,0,1,9/16/2019,0.0,498.0,0.0,332.0,0.0
"Sep 13-16, 2019",National,HarrisX,812,LV,C+,33,14,7,14,5,4,2,1,0,2,1,2,0,1,1,9/16/2019,0.0,0.0,0.0,1.0,0.0
"Sep 12-16, 2019",New Jersey,Monmouth University,325,RV,A+,26,18,6,20,6,9,1,1,0,0,0,0,2,1,0,9/16/2019,354.0,359.0,0.0,0.0,0.0
"Sep 13-16, 2019",National,NBC News/Wall Street Journal,506,LV,A-,31,14,5,25,7,2,4,1,0,1,1,1,1,2,1,9/16/2019,289.0,217.0,0.0,0.0,0.0
"Sep 13-16, 2019",National,SurveyUSA,"1,017",LV,A,33,17,6,19,5,4,3,-1,-1,4,-1,1,-1,1,-1,9/16/2019,0.0,0.0,0.0,1.0,0.0
"Sep 12-15, 2019",California,Change Research,"3,325",LV,C+,18,23,11,25,10,2,3,0,1,2,0,1,2,1,0,9/15/2019,0.0,0.0,0.0,1.0,0.0
"Sep 12-15, 2019",Florida,Florida Atlantic University,407,LV,C+,34,14,4,24,5,1,2,1,0,2,0,0,1,0,0,9/15/2019,0.0,608.0,0.0,326.0,0.0
"Sep 13-15, 2019",National,Morning Consult,"7,487",LV,B-,32,20,6,18,5,3,3,0,1,4,1,1,1,2,1,9/15/2019,0.0,0.0,0.0,1.0,0.0
"Sep 13-15, 2019",California,SurveyUSA,547,LV,A,27,18,13,16,3,2,7,-1,-1,2,-1,2,-1,1,-1,9/15/2019,0.0,0.0,0.0,1.0,0.0
"Sep 13-15, 2019",Texas,University of Texas at Tyler,474,RV,Missing,28,17,6,11,4,6,1,0,0,19,1,4,0,0,1,9/15/2019,0.0,0.0,0.0,1.0,0.0
"Sep 1-13, 2019",California,Capitol Weekly,599,LV,Missing,18,21,11,29,7,1,4,0,1,2,0,1,2,1,0,9/13/2019,0.0,0.0,0.0,1.0,0.0
"Sep 9-12, 2019",Arizona,Bendixen & Amandi International,250,RV,B-,29,18,4,24,5,0,2,-1,1,4,-1,1,-1,1,-1,9/12/2019,0.5,0.5,0.0,0.0,0.0
"Sep 10-12, 2019",National,Civiqs,"1,784",LV,Missing,23,15,7,28,7,1,2,0,1,2,0,1,2,1,0,9/12/2019,0.0,0.0,0.0,1.0,0.0
"Sep 9-12, 2019",National,HarrisX,801,LV,C+,38,14,5,15,4,1,2,1,0,2,1,1,1,1,1,9/12/2019,0.0,0.0,0.0,1.0,0.0
"Sep 8-12, 2019",New York,Siena College,359,RV,A,22,15,4,17,3,0,1,-1,-1,0,-1,0,1,1,-1,9/12/2019,0.5,0.5,0.0,0.0,0.0
"Sep 7-11, 2019",Georgia,Change Research,755,LV,C+,33,17,7,22,7,2,3,-1,2,3,0,1,2,1,0,9/11/2019,0.0,0.0,0.0,1.0,0.0
"Sep 7-11, 2019",National,GQR Research,241,LV,B-,30,21,4,19,4,4,2,0,1,1,0,1,2,2,0,9/11/2019,0.5,0.5,0.0,0.0,0.0
"Sep 6-11, 2019",New Hampshire,HarrisX,595,LV,C+,22,21,5,15,5,3,2,1,1,1,1,0,6,1,2,9/11/2019,0.0,0.0,0.0,1.0,0.0
"Sep 9-10, 2019",National,Ipsos,557,RV,B+,22,16,4,11,4,3,3,0,0,2,-1,1,1,1,1,9/10/2019,0.0,0.0,0.0,1.0,0.0
"Sep 7-10, 2019",National,McLaughlin & Associates,454,LV,C-,28,21,6,12,6,4,2,1,2,3,0,2,2,1,0,9/10/2019,0.0,0.0,0.0,1.0,0.0
"Sep 4-10, 2019",New Hampshire,RKM Research and Communications Inc.,425,LV,A-,21,29,6,17,5,1,5,-1,0,2,-1,1,3,1,0,9/10/2019,340.0,85.0,0.0,0.0,0.0
