Dates,Region,Pollster,Sample,Voter_Type,Pollster_Grade,Biden,Sanders,Harris,Warren,Buttigieg,Booker,Yang,de Blasio,Williamson,O'Rourke,Delaney,Castro,Gabbard,Klobuchar,Steyer,Poll_End_Date,Cell,Landline,Text,Online,Mail,Methodology Details,Methodology URL
"Sep 15-18, 2019",National,HarrisX,"1,326",RV,C+,27,15,4,16,3,2,3,1,1,3,1,1,1,1,1,9/18/2019,,,,1,,,
"Sep 15-17, 2019",National,Fox News,480,LV,A,29,18,7,16,5,3,2,0,0,4,1,0,0,2,1,9/17/2019,789,219,,0,,,
"Sep 14-17, 2019",National,YouGov,603,LV,B,25,15,5,19,8,2,3,0,1,3,1,1,2,1,0,9/17/2019,,,,1,,,
"Sep 14-17, 2019",National,HarrisX,"1,329",RV,C+,27,14,5,13,4,3,3,1,1,4,1,2,1,1,1,9/17/2019,,,,1,,,
"Sep 13-16, 2019",National,NBC News/Wall Street Journal,506,LV,A-,31,14,5,25,7,2,4,1,0,1,1,1,1,2,1,9/16/2019,289,217,,0,,,
"Sep 13-16, 2019",National,SurveyUSA,"1,017",LV,A,33,17,6,19,5,4,3,-1,-1,4,-1,1,-1,1,-1,9/16/2019,,,,1,,,
"Sep 13-15, 2019",National,Morning Consult,"7,487",LV,B-,32,20,6,18,5,3,3,0,1,4,1,1,1,2,1,9/15/2019,,,,1,,,
"Sep 10-13, 2019",National,HarrisX,"1,302",RV,C+,31,15,5,12,4,2,2,1,1,3,1,1,1,1,1,9/13/2019,,,,1,,,
"Sep 6-13, 2019",National,HarrisX,"3,074",RV,C+,29,16,5,12,4,2,3,1,0,3,1,1,1,1,1,9/13/2019,,,,1,,,
"Sep 7-11, 2019",National,GQR Research,241,LV,B-,30,21,4,19,4,4,2,0,1,1,0,1,2,2,0,9/11/2019,Unclear,Unclear,,0,,,
"Sep 9-10, 2019",National,Ipsos,557,RV,B+,22,16,4,11,4,3,3,0,0,2,-1,1,1,1,1,9/10/2019,,,,1,,,
