Dates,Region,Pollster,Sample,Voter_Type,Pollster_Grade,Biden,Sanders,Harris,Warren,Buttigieg,Booker,Yang,de Blasio,Williamson,O'Rourke,Delaney,Castro,Gabbard,Klobuchar,Steyer,Poll_End_Date,Cell,Landline,Text,Online,Mail,Methodology Details,Methodology URL
"Sep 13-17, 2019",Iowa,Civiqs,572,LV,-10,16,16,5,24,13,2,3,0,1,2,0,0,4,3,2,9/17/2019,,,,1,,,
"Sep 13-16, 2019",California,Emerson College,424,LV,B+,26,26,6,20,4,1,7,0,0,5,0,1,2,0,1,9/16/2019,0,498,0,332,,,
"Sep 14-16, 2019",Iowa,David Binder Research,500,LV,-10,25,9,5,23,12,2,2,0,0,1,1,1,1,8,3,9/16/2019,Unclear,Unclear,,0,,,
"Sep 12-16, 2019",New Jersey,Monmouth University,325,RV,A+,26,18,6,20,6,9,1,1,0,0,0,0,2,1,0,9/16/2019,354,359,,0,,,
"Sep 13-15, 2019",California,SurveyUSA,547,LV,A,27,18,13,16,3,2,7,-1,-1,2,-1,2,-1,1,-1,9/15/2019,,,,1,,,
"Sep 13-15, 2019",Texas,University of Texas at Tyler,474,RV,-10,28,17,6,11,4,6,1,0,0,19,1,4,0,0,1,9/15/2019,,,,1,,,
"Sep 12-15, 2019",Florida,Florida Atlantic University,407,LV,C+,34,14,4,24,5,1,2,1,0,2,0,0,1,0,0,9/15/2019,0,608,0,326,,,
"Sep 1-13, 2019",California,Capitol Weekly,616,LV,-10,18,17,11,33,8,1,3,0,1,2,0,1,3,1,1,9/13/2019,,,,1,,,
"Sep 9-12, 2019",Arizona,Bendixen & Amandi International,250,RV,B-,29,18,4,24,5,0,2,-1,1,4,-1,1,-1,1,-1,9/12/2019,Unclear,Unclear,,0,,,
"Sep 8-12, 2019",New York,Siena College,359,RV,A,22,15,4,17,3,0,1,-1,-1,0,-1,0,1,1,-1,9/12/2019,Unclear,Unclear,,0,,,
"Sep 6-11, 2019",New Hampshire,HarrisX,595,LV,C+,22,21,5,15,5,3,2,1,1,1,1,0,6,1,2,9/11/2019,,,,1,,,
"Sep 4-10, 2019",New Hampshire,RKM Research and Communications Inc.,425,LV,A-,21,29,6,17,5,1,5,-1,0,2,-1,1,3,1,0,9/10/2019,340,85,,0,,,https://www.franklinpierce.edu/institutes/mfcc/polling.htm
"Sep 6-9, 2019",New Hampshire,Emerson College,483,LV,B+,24,13,8,21,11,4,3,0,1,1,3,0,6,1,1,9/9/2019,0,692,,349,,,
"Sep 4-9, 2019",Texas,Quinnipiac University,456,RV,A-,28,12,5,18,3,1,1,0,0,12,1,3,0,2,0,9/9/2019,Unclear,Unclear,,0,,,
"Aug 29-Sep 8, 2019",Texas,YouGov,552,LV,B,26,12,5,18,4,1,3,0,1,14,0,3,2,1,0,9/8/2019,,,,1,,,
"Aug 31-Sep 6, 2019",Texas,Univision/University of Houston/Latino Decisions/North Star Opinion Research,552,LV,-10,20,13,5,12,1,3,1,0,0,19,1,12,1,0,1,9/6/2019,,,,0,1,,
"Sep 3-5, 2019",Massachusetts,Suffolk University,500,LV,B+,26,8,3,24,5,1,1,0,0,1,0,0,2,0,0,9/5/2019,Unclear,Unclear,,0,,,
"Sep 3-5, 2019",Texas,Ragnar Research Partners,600,LV,-10,23,12,7,15,6,1,-1,-1,-1,12,-1,2,4,-1,-1,9/5/2019,390,210,,0,,,
"Aug 28-Sep 4, 2019",Iowa,YouGov,682,LV,B,29,26,6,17,7,2,1,1,0,2,1,1,1,2,2,9/4/2019,,,,1,,,
"Aug 28-Sep 4, 2019",Nevada,YouGov,563,LV,B,27,29,6,18,4,1,1,1,0,3,1,2,1,0,2,9/4/2019,,,,1,,,
"Aug 28-Sep 4, 2019",New Hampshire,YouGov,492,LV,B,26,25,7,27,8,2,1,0,0,1,0,0,1,1,1,9/4/2019,,,,1,,,
"Aug 28-Sep 4, 2019",South Carolina,YouGov,785,LV,B,43,18,7,14,4,2,1,1,0,1,1,0,1,1,1,9/4/2019,,,,1,,,
"Aug 1-31, 2019",California,Capitol Weekly,728,LV,-10,27,14,12,23,9,1,3,0,2,2,1,1,3,1,1,8/31/2019,,,,1,,,
"Aug 25-29, 2019",Wisconsin,Marquette Law School,444,RV,A,28,20,3,17,6,1,2,-1,0,1,0,0,0,1,1,8/29/2019,496,304,,0,,,https://law.marquette.edu/poll/wp-content/uploads/2019/09/MLSP53Methodology.pdf
"Aug 20-25, 2019",Texas,Climate Nexus,639,LV,-10,24,12,7,12,3,2,1,0,1,21,1,3,1,0,1,8/25/2019,,,,1,,,
"Aug 16-25, 2019",Texas,Texas Lyceum,358,LV,-10,24,13,4,15,3,2,2,0,1,18,0,4,1,3,0,8/25/2019,600,0,0,200,,,
"Aug 16-20, 2019",New Jersey,Change Research,635,LV,C+,26,21,8,23,12,5,1,0,0,2,-1,-1,1,0,1,8/20/2019,,,,1,,,
"Aug 16-19, 2019",Colorado,Emerson College,403,LV,B+,25,26,13,20,5,2,4,1,1,1,0,0,1,0,0,8/19/2019,0,656,,344,,,
"Aug 14-16, 2019",Nevada,Gravis Marketing,382,RV,C+,25,10,9,15,5,3,2,2,1,0,1,1,2,2,6,8/16/2019,Unclear,Unclear,,Unclear,,,
"Aug 9-12, 2019",South Carolina,Change Research,521,LV,C+,36,16,12,17,5,4,1,0,0,1,1,1,2,1,1,8/12/2019,,,,1,,,
"Aug 9-11, 2019",Iowa,Change Research,621,LV,C+,17,17,8,28,13,3,1,-1,0,3,0,1,2,2,2,8/11/2019,,,,1,,,
"Aug 9-11, 2019",Wisconsin,Change Research,626,LV,C+,20,24,5,29,9,1,2,-1,1,1,0,0,2,2,1,8/11/2019,,,,1,,,
"Aug 2-8, 2019",Nevada,Change Research,439,LV,C+,26,22,10,23,7,0,1,-1,0,2,-1,1,1,1,3,8/8/2019,,,,1,,,
"Aug 2-6, 2019",New Hampshire,Gravis Marketing,250,LV,C+,15,21,7,12,8,0,4,0,0,2,0,2,5,4,4,8/6/2019,Unclear,Unclear,,Unclear,,,
"Aug 1-5, 2019",California,SurveyUSA,528,LV,A,25,18,17,21,6,1,1,0,0,0,0,0,1,0,0,8/5/2019,,,,1,,(confirmed it was online via email),http://www.surveyusa.com/client/methodology.aspx?g=949b0f46-a4a4-4480-b675-711e9d6fd657
"Aug 1-5, 2019",North Carolina,SurveyUSA,534,LV,A,36,15,8,13,5,1,1,0,0,0,0,1,1,0,0,8/5/2019,,,,1,,,
"Aug 1-4, 2019",Iowa,Monmouth University,401,LV,A+,28,9,11,19,8,1,2,0,0,0,1,0,1,3,3,8/4/2019,225,176,,0,,,
"Aug 1-4, 2019",New Hampshire,Suffolk University,500,LV,B+,21,17,8,14,6,1,1,0,1,0,1,0,3,1,1,8/4/2019,Unclear,Unclear,,0,,,
"Jul 29-Aug 4, 2019",Pennsylvania,Franklin & Marshall College,295,RV,B-,28,12,8,21,6,2,-1,-1,0,1,0,-1,1,0,-1,8/4/2019,0,0,0,0,1,,
"Aug 1-4, 2019",Texas,University of Texas at Tyler,534,RV,-10,24,18,5,10,5,2,2,1,1,23,0,4,1,0,1,8/4/2019,,,,1,,,
"Aug 1-3, 2019",Texas,Emerson College,400,LV,B+,28,16,5,14,7,2,3,0,0,19,0,2,1,0,0,8/3/2019,0,671,0,374,,,
"Jul 22-Aug 1, 2019",Washington,Zogby Interactive/JZ Analytics,619,LV,C,19,18,9,14,5,1,2,-1,-1,2,1,2,-1,1,-1,8/1/2019,,,,1,,,
"Jul 26-29, 2019",Illinois,Victory Research,"1,200",LV,-10,36,15,9,13,9,1,0,0,0,2,-1,1,0,2,1,7/29/2019,698,502,,0,,,https://projects.fivethirtyeight.com/polls/20190730_IL.pdf
"Jul 17-27, 2019",Oklahoma,SoonerPoll.com,152,LV,B-,26,5,8,12,6,2,-1,0,1,1,1,0,0,1,0,7/27/2019,159,214,,0,,,
"Jul 24-27, 2019",Texas,University of Texas at Tyler,554,RV,-10,19,14,8,9,2,1,0,0,1,38,0,2,1,0,0,7/27/2019,,,,1,,,
"Jul 23-25, 2019",Iowa,Firehouse Strategies Optimus,630,LV,C-,23,11,12,23,7,2,0,-1,-1,2,-1,-1,-1,-1,-1,7/25/2019,118,228,284,0,,,
"Jul 23-25, 2019",New Hampshire,Firehouse Strategies Optimus,587,LV,C-,22,13,13,16,8,1,1,-1,-1,0,-1,-1,-1,-1,-1,7/25/2019,128,221,238,0,,,
"Jul 23-25, 2019",South Carolina,Firehouse Strategies Optimus,554,LV,C-,31,9,10,12,4,2,1,-1,-1,0,-1,-1,-1,-1,-1,7/25/2019,118,252,184,0,,,
"Jul 14-23, 2019",California,Public Policy Institute of California,766,LV,A,11,12,19,15,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7/23/2019,1194,512,,0,,"For both cell phones and landlines, telephone numbers were called as many as eight times. When no contact with an individual was made, calls to a number were limited to six. Also, to increase our ability to interview Asian American adults, we made up to three additional calls to phone numbers estimated by Survey Sampling International as likely to be associated with Asian American individuals. Live landline and cell phone interviews were conducted by Abt Associates in English and Spanish, according to respondents’ preferences",https://www.ppic.org/wp-content/uploads/ppic-statewide-survey-californians-and-the-environment-july-2019.pdf
